name,kind,from_node,to_node,status,r,x,b,fire_risk,wind_risk,water_risk,rating,hardening,repair_cost,distance
N806_to_N808,UG_line,N806,N808,1,0.000402385,0.000268256,0,2,1,3,1,1,5,0.335703082
N806_to_N801,UG_line,N806,N801,1,0.000401884,0.000267923,0,2,1,3,1,1,5,0.335285458
N801_to_N400,UG_line,N801,N400,1,5.33E-06,3.55E-06,0,2,1,3,1,1,5,0.004447797
N941_to_N937,UG_line,N941,N937,1,0.000169308,0.000112872,0,2,1,3,1,1,5,0.141250579
N937_to_N931,UG_line,N937,N931,1,0.000169308,0.000112872,0,2,1,3,1,1,5,0.14125123
N931_to_N921,UG_line,N931,N921,1,0.000169312,0.000112874,0,2,1,3,1,1,5,0.141254059
N921_to_N920,UG_line,N921,N920,1,0.001557973,0.001038648,0,2,1,3,1,1,5,1.299791452
N920_to_N916,UG_line,N920,N916,1,0.00155791,0.001038607,0,2,1,3,1,1,5,1.299739179
N916_to_N911,UG_line,N916,N911,1,0.00092887,0.000619246,0,2,1,3,1,1,5,0.774940962
N911_to_N910,UG_line,N911,N910,1,0.000928857,0.000619238,0,2,1,3,1,1,5,0.774930363
N910_to_N901,UG_line,N910,N901,1,0.000439648,0.000293099,0,2,1,3,1,1,5,0.366791253
N901_to_N400,UG_line,N901,N400,1,1.34E-05,8.92E-06,0,2,1,3,1,1,5,0.011161117
LD5_to_N400,Short,LD5,N400,1,2.67E-06,1.78E-06,0,2,1,3,1,1,5,0.002223899
N104_to_N400,XFMR,N104,N400,1,1.31E-05,8.74E-06,0,2,1,3,1,1,10,0.010937316
N104_to_N103,UG_line,N104,N103,1,0.012833701,0.008555801,0,2,1,3,1,1,10,10.70695057
N103_to_N100,XFMR,N103,N100,1,0.000159938,0.000106626,0,2,1,3,1,1,10,0.133433912
N100_to_N101,Short,N100,N101,1,5.33E-05,3.55E-05,0,2,1,3,1,1,10,0.044477971
N100_to_N102,Short,N100,N102,1,0.000106626,7.11E-05,0,2,1,3,1,1,10,0.088955941
N811_to_N813,Short,N811,N813,1,0.001421513,0.000947675,0,2,1,3,1,1,5,1.185945526
N813_to_N822,UG_line,N813,N822,1,0.000523247,0.000348831,0,2,1,3,1,1,5,0.436536204
N822_to_N829,UG_line,N822,N829,1,0.000565167,0.000376778,0,2,1,3,1,1,5,0.471509412
N829_to_N831,UG_line,N829,N831,1,0.000565174,0.000376783,0,2,1,3,1,1,5,0.471515562
,,N526,N731,1,0.000174623,0.000116415,0,,,,,,,0.145685273
,,N526,N720,1,0.000197411,0.000131607,0,,,,,,,0.164696867
,,N526,N850,1,0.000450223,0.000300148,0,,,,,,,0.375613393
,,N608,N838,1,0.001055103,0.000703402,0,,,,,,,0.880255361
,,N707,N850,1,0.000411947,0.000274631,0,,,,,,,0.343680816
,,N627,N850,1,0.000285136,0.00019009,0,,,,,,,0.237884008
