name,kind,from_node,to_node,status,r,x,b,fire_risk,wind_risk,water_risk,rating,hardening,repair_cost,distance
N701_to_N400,Short,N707,N400,1,0.0013776442829461291,0.0009184295219640861,0,2.0,1.0,3.0,1.0,1.0,5.0,1.1493464716087152
N850_to_N838,UG_line,N850,N838,1,0.0006991931062738396,0.00046612873751589314,0,2.0,1.0,3.0,1.0,1.0,5.0,0.5833255649639997
N838_to_N811,UG_line,N838,N811,1,0.0004001256415145403,0.0002667504276763602,0,2.0,1.0,3.0,1.0,1.0,5.0,0.3338183883661452
N811_to_N808,Short,N811,N808,1,2.6656375395436963e-06,1.7770916930291309e-06,0,2.0,1.0,3.0,1.0,1.0,5.0,0.0022238985335970704
N806_to_N808,UG_line,N806,N808,1,0.00040238469716993755,0.00026825646477995847,0,2.0,1.0,3.0,1.0,1.0,5.0,0.33570308217197004
N806_to_N801,UG_line,N806,N801,1,0.00040188411969164145,0.0002679227464610943,0,2.0,1.0,3.0,1.0,1.0,5.0,0.3352854584315252
N801_to_N400,UG_line,N801,N400,1,5.331275078140367e-06,3.5541833854269118e-06,0,2.0,1.0,3.0,1.0,1.0,5.0,0.004447797066404053
N941_to_N937,UG_line,N941,N937,1,0.00016930756500559716,0.00011287171000373148,0,2.0,1.0,3.0,1.0,1.0,5.0,0.14125057887926182
N937_to_N931,UG_line,N937,N931,1,0.00016930834544611116,0.00011287223029740745,0,2.0,1.0,3.0,1.0,1.0,5.0,0.1412512299882325
N931_to_N921,UG_line,N931,N921,1,0.0001693117359260515,0.00011287449061736769,0,2.0,1.0,3.0,1.0,1.0,5.0,0.14125405861112503
N921_to_N920,UG_line,N921,N920,1,0.0015579725589426915,0.0010386483726284612,0,2.0,1.0,3.0,1.0,1.0,5.0,1.2997914524456415
N920_to_N916,UG_line,N920,N916,1,0.0015579099026163383,0.0010386066017442255,0,2.0,1.0,3.0,1.0,1.0,5.0,1.2997391792801303
N916_to_N911,UG_line,N916,N911,1,0.0009288695903264789,0.0006192463935509861,0,2.0,1.0,3.0,1.0,1.0,5.0,0.7749409622223346
N911_to_N910,UG_line,N911,N910,1,0.0009288568851922214,0.0006192379234614809,0,2.0,1.0,3.0,1.0,1.0,5.0,0.7749303625331324
N910_to_N901,UG_line,N910,N901,1,0.00043964799631623664,0.00029309866421082446,0,2.0,1.0,3.0,1.0,1.0,5.0,0.36679125342522645
N901_to_N400,UG_line,N901,N400,1,1.3378079674266087e-05,8.91871978284406e-06,0,2.0,1.0,3.0,1.0,1.0,5.0,0.011161116741715
LD5_to_N400,Short,LD5,N400,1,2.665637537649647e-06,1.7770916917664313e-06,0,2.0,1.0,3.0,1.0,1.0,5.0,0.0022238985320168956
N104_to_N400,XFMR,N104,N400,1,1.31098245030739e-05,8.739883002049267e-06,0,2.0,1.0,3.0,1.0,1.0,10.0,0.010937315766153161
N104_to_N103,UG_line,N104,N103,1,0.012833701247349985,0.008555800831566658,0,2.0,1.0,3.0,1.0,1.0,10.0,10.706950574191774
N103_to_N100,XFMR,N103,N100,1,0.0001599382523214824,0.00010662550154765496,0,2.0,1.0,3.0,1.0,1.0,10.0,0.13343391197315949
N100_to_N101,Short,N100,N101,1,5.331275077382748e-05,3.554183384921832e-05,0,2.0,1.0,3.0,1.0,1.0,10.0,0.044477970657719836
N100_to_N102,Short,N100,N102,1,0.00010662550154765496,7.108366769843664e-05,0,2.0,1.0,3.0,1.0,1.0,10.0,0.08895594131543967
N811_to_N813,Short,N811,N813,1,0.0014215131072690998,0.0009476754048460666,0,2.0,1.0,3.0,1.0,1.0,5.0,1.1859455262945906
N813_to_N822,UG_line,N813,N822,1,0.0005232465761802001,0.0003488310507868002,0,2.0,1.0,3.0,1.0,1.0,5.0,0.4365362042718037
N822_to_N829,UG_line,N822,N829,1,0.0005651666076704698,0.0003767777384469799,0,2.0,1.0,3.0,1.0,1.0,5.0,0.47150941243554817
N829_to_N831,UG_line,N829,N831,1,0.0005651739782183197,0.00037678265214554653,0,2.0,1.0,3.0,1.0,1.0,5.0,0.47151556156509494
,,N526,N731,0,0.0001746231347960123,0.00011641542319734154,0,,,,,,,0.14568527327667063
,,N526,N720,0,0.00019741105355040655,0.0001316073690336044,0,,,,,,,0.16469686744498419
,,N526,N850,0,0.00045022250137995455,0.00030014833425330307,0,,,,,,,0.3756133929531469
,,N608,N838,0,0.0010551028741790022,0.000703401916119335,0,,,,,,,0.8802553610054582
,,N707,N850,0,0.00041194707034849164,0.0002746313802323278,0,,,,,,,0.34368081634401154
,,N627,N850,0,0.00028513555496059516,0.0001900903699737301,0,,,,,,,0.23788400828936473
